Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
210,0.00520807,0.00228233,0.00138826
211,0.00519436,0.00234685,0.000846164
212,0.0050257,0.00228333,0.000921816
213,0.00516797,0.00233441,0.000921526
214,0.00563369,0.00228196,0.000919141
215,0.00519742,0.00228798,0.000912639
216,0.00506317,0.00228318,0.000922628
217,0.00509843,0.00237932,0.000925353
218,0.00513933,0.00228133,0.00091875
219,0.00513905,0.00228285,0.0009183
220,0.00512737,0.00228718,0.000911767
221,0.00514462,0.00228267,0.000916106
222,0.00514742,0.00229119,0.000909833
223,0.00551711,0.00228416,0.000925483
224,0.00514772,0.00228625,0.000938889
225,0.00525786,0.00228679,0.00104226
226,0.00515409,0.00239287,0.000942154
227,0.00502614,0.00228316,0.000929261
228,0.00515553,0.00228355,0.000909594
229,0.00515564,0.00239224,0.000925243
230,0.00519864,0.0022981,0.00140104
231,0.00503018,0.00247791,0.00125675
232,0.00512187,0.00243062,0.0017678
233,0.00505665,0.00228372,0.00123729
234,0.00512041,0.00228605,0.000913351
235,0.00516558,0.00228368,0.000921947
236,0.00516654,0.00228119,0.000930443
237,0.00511875,0.00228593,0.000911187
238,0.00504696,0.00228086,0.000905215
239,0.00512597,0.0023493,0.000913561
240,0.00513268,0.00228478,0.000905886
241,0.00515539,0.00228309,0.000914563
242,0.00513994,0.00228426,0.000928359
243,0.005157,0.00228049,0.000915805
244,0.00516693,0.0022813,0.000904474
245,0.00523162,0.00246,0.000934971
246,0.00521633,0.00245149,0.000931254
247,0.00509952,0.00228479,0.000899224
248,0.0051796,0.00228463,0.000915805
249,0.00510667,0.00228034,0.000924171
250,0.00510379,0.00228917,0.000927797
251,0.00564892,0.00228225,0.000895396
252,0.00509273,0.00229121,0.000924542
253,0.00500295,0.00228215,0.000911216
254,0.0051052,0.00228865,0.000917649
255,0.00515464,0.0022815,0.000935833
256,0.00519695,0.00228303,0.000924111
257,0.00523248,0.00228658,0.000938788
258,0.00513589,0.00245769,0.000925233
259,0.00523176,0.00244224,0.000916406
260,0.00565758,0.00248074,0.000911918
261,0.00515268,0.00228214,0.000916727
262,0.00500931,0.00238213,0.000916036
263,0.00522131,0.00233004,0.0009237
264,0.00510195,0.00232618,0.000923509
265,0.00513662,0.00229219,0.000945471
266,0.0051413,0.00228433,0.000919853
267,0.00510942,0.00228242,0.000927728
268,0.00511829,0.0022853,0.000919352
269,0.00562197,0.00228925,0.000906107
270,0.00512193,0.00228274,0.00102256
271,0.00512874,0.00229428,0.000918059
272,0.00511273,0.00228386,0.000918119
273,0.0051488,0.00228122,0.000924131
274,0.00502496,0.00234853,0.000919723
275,0.00512178,0.00228834,0.000932437
276,0.00515526,0.00228328,0.00092391
277,0.00520656,0.00228663,0.000931375
278,0.00580188,0.0022853,0.000921225
279,0.00510568,0.00229034,0.000925914
280,0.00512813,0.00228449,0.000933137
281,0.00514583,0.00228408,0.000904464
282,0.00509675,0.00228738,0.000927627
283,0.00514813,0.00230811,0.000920985
284,0.00512788,0.00228283,0.000914713
285,0.00511463,0.00229157,0.000918541
286,0.00514082,0.00228349,0.000928599
287,0.00545959,0.00228208,0.00113119
288,0.00520852,0.00228438,0.000907209
289,0.00516131,0.00228711,0.000905406
290,0.00520381,0.00229978,0.000924231
291,0.00512175,0.0022878,0.000908372
292,0.00516678,0.00228419,0.000919823
293,0.00516505,0.00228609,0.00091863
294,0.00511905,0.00228492,0.000911237
295,0.00514022,0.00228232,0.0016923
296,0.00567859,0.00236025,0.00135919
297,0.00519588,0.00228005,0.00157137
298,0.0051934,0.00228592,0.00222236
299,0.00519367,0.00228553,0.0022679
300,0.00521386,0.0024092,0.00205246
301,0.00520715,0.0022861,0.00194859
302,0.00518474,0.00228269,0.00182182
303,0.00513214,0.00228942,0.00162337
304,0.00518069,0.00228036,0.0017135
305,0.00517335,0.00228236,0.00189226
306,0.00519865,0.00236936,0.00174287
307,0.0051952,0.00228354,0.00177303
308,0.0051945,0.00237589,0.00173304
309,0.00516515,0.00228586,0.00161508
310,0.00519433,0.00228107,0.0016616
311,0.00512231,0.00228283,0.00190581
312,0.00518941,0.00228219,0.00162918
313,0.00521153,0.00243364,0.00177249
314,0.00516016,0.00228315,0.00186483
315,0.00518056,0.0022819,0.00164476
316,0.00515484,0.00228501,0.00172736
317,0.00510034,0.00228182,0.00170842
318,0.00517216,0.00228686,0.00190531
319,0.00512575,0.00228359,0.0016914
320,0.00522693,0.00228266,0.00163145
321,0.00517373,0.00243585,0.00203389
322,0.00522804,0.0022799,0.00189618
323,0.00518292,0.00228853,0.00172537
324,0.00519454,0.00231872,0.00147214
325,0.00522555,0.00228603,0.00177126
326,0.00521438,0.00228312,0.00183562
327,0.00521849,0.00228465,0.00172885
328,0.00520383,0.00228211,0.00173465
329,0.00520386,0.00243043,0.00187162
330,0.00518326,0.0022855,0.00170917
331,0.00519632,0.00228205,0.00187042
332,0.00518297,0.00229127,0.00174983
333,0.00517996,0.00228679,0.00184254
334,0.00520408,0.00228212,0.00161042
335,0.00519739,0.00228369,0.00189497
336,0.00516263,0.00228359,0.00160803
337,0.00554097,0.00228522,0.00190179
338,0.00519683,0.00236993,0.00161454
339,0.00521687,0.00228488,0.0017694
340,0.00548563,0.00249968,0.00445446
341,0.00524031,0.00247772,0.00205864
342,0.0052008,0.00234332,0.00220557
343,0.00522923,0.00228487,0.00191493
344,0.00520062,0.00228297,0.00202515
345,0.00565933,0.0022815,0.00211244
346,0.00517824,0.00228187,0.0020202
347,0.005163,0.00228433,0.00212388
348,0.00513694,0.00228982,0.00213906
349,0.00519367,0.00228551,0.00192342
350,0.00517257,0.00229022,0.00178286
351,0.00516863,0.0023546,0.00202781
352,0.00514677,0.00228366,0.00190556
353,0.00521811,0.00228192,0.00171171
354,0.00519294,0.00228337,0.00197567
355,0.00510488,0.00228426,0.00160381
356,0.00515901,0.00229005,0.00172323
357,0.00520902,0.0022892,0.00168378
358,0.0051998,0.00228632,0.0016656
359,0.00514203,0.00228421,0.00173659
360,0.00520775,0.00228459,0.00166814
361,0.00524313,0.00228332,0.00185673
362,0.00525923,0.00243719,0.00189822
363,0.00519663,0.00228718,0.00169504
364,0.00522946,0.00239681,0.00176074
