Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
215,0.0452706,0.0017099,0.0029938
216,0.0424572,0.0100461,0.0029868
217,0.0430797,0.0015972,0.003202
218,0.0423838,0.0018192,0.0032426
219,0.0425617,0.0019242,0.0029866
220,0.0424435,0.0018332,0.0030612
221,0.0440448,0.0017034,0.0030346
222,0.0433339,0.0016348,0.0032079
223,0.043357,0.0016569,0.0030967
224,0.0427066,0.00167,0.0030972
225,0.0449204,0.0017487,0.0032917
226,0.0429326,0.0017545,0.0030519
227,0.0426186,0.0017473,0.003099
228,0.0440683,0.002449,0.0033625
229,0.0459841,0.0019306,0.0030513
230,0.0451683,0.0049705,0.013448
231,0.045502,0.0059228,0.0031172
232,0.0478904,0.00649,0.0031334
233,0.0426047,0.0022538,0.0031604
234,0.0425304,0.0016849,0.0031525
235,0.045526,0.0018861,0.0031254
236,0.0435766,0.0015828,0.0031885
237,0.0445879,0.0016195,0.0031264
238,0.0410386,0.0016877,0.0032667
239,0.0418876,0.0017859,0.0031239
240,0.0447514,0.0018808,0.0031628
241,0.0411315,0.0018485,0.0029885
242,0.0413365,0.0016868,0.0030541
243,0.0425326,0.0016759,0.0030964
244,0.0420374,0.0017455,0.0030888
245,0.0449483,0.001867,0.002989
246,0.0439089,0.0018444,0.0030098
247,0.0422643,0.0015738,0.0033628
248,0.0432287,0.0017859,0.0030755
249,0.0406376,0.0016982,0.0030707
250,0.0420664,0.0016551,0.0030622
251,0.0413578,0.0017067,0.0030813
252,0.0467927,0.0016806,0.0031468
253,0.0433228,0.0019704,0.0030872
254,0.042087,0.0018029,0.0030419
255,0.0445361,0.0017619,0.0029807
256,0.0446463,0.0016693,0.0031214
257,0.0442807,0.001655,0.0030441
258,0.0434399,0.0016508,0.0034407
259,0.0466499,0.0016956,0.0031385
260,0.0428099,0.001663,0.0031762
261,0.0425056,0.0018048,0.00299
262,0.0423803,0.0017076,0.0031082
263,0.0432701,0.0015777,0.0030174
264,0.0451548,0.0016372,0.0030338
265,0.0417021,0.0016653,0.0030809
266,0.0427347,0.001642,0.00303
267,0.0429507,0.0017708,0.0033085
268,0.0429829,0.001777,0.003149
269,0.0443179,0.0018207,0.0033846
270,0.0420181,0.0018342,0.0030078
271,0.0438587,0.0015706,0.0033809
272,0.0453295,0.0018301,0.0029886
273,0.0413396,0.0016625,0.0030831
274,0.0436326,0.001636,0.002995
275,0.04897,0.0076474,0.004906
276,0.0465067,0.0027023,0.0029356
277,0.0450358,0.0021389,0.0078509
278,0.0433758,0.0030128,0.0034055
279,0.0445814,0.0016646,0.0031064
280,0.0433063,0.0016834,0.0030978
281,0.0436435,0.0017973,0.0030422
282,0.0418379,0.0016815,0.0030178
283,0.0443542,0.001678,0.0033029
284,0.0438362,0.0019938,0.0030105
285,0.043743,0.0019234,0.0031811
286,0.0445572,0.0019346,0.003021
287,0.0434586,0.0018977,0.0030959
288,0.0456713,0.0019885,0.0030942
289,0.0455566,0.0018699,0.0030765
290,0.0443796,0.0017153,0.0030021
291,0.0432395,0.0016122,0.003096
292,0.0418029,0.0018919,0.0031951
293,0.0427387,0.0017697,0.0030248
294,0.0439658,0.001663,0.0030804
295,0.0448621,0.0016361,0.0032601
296,0.043312,0.0016535,0.0031087
297,0.0427403,0.0016699,0.0036284
298,0.0403322,0.0017474,0.0033324
299,0.0428011,0.0016792,0.0033649
300,0.0450341,0.0016497,0.0031067
301,0.0430921,0.0017299,0.0030369
302,0.0429948,0.0016312,0.0030841
303,0.0465925,0.0016357,0.0030664
304,0.0425527,0.0016734,0.0033561
305,0.04255,0.0016533,0.0030591
306,0.0417239,0.0018208,0.0029873
307,0.0430179,0.0017887,0.0033669
308,0.0420265,0.001935,0.0032564
309,0.0451707,0.0016844,0.0030233
310,0.0435077,0.0017075,0.0032791
311,0.0424516,0.0016733,0.0033363
312,0.0432628,0.0017702,0.0030547
313,0.0416625,0.0017156,0.0030853
314,0.0418436,0.0018817,0.0029875
315,0.0447036,0.0016864,0.0032478
316,0.0433526,0.0016781,0.0031519
317,0.0431397,0.0016191,0.0030613
318,0.0440386,0.00165,0.0033795
319,0.0446791,0.0016477,0.0029689
320,0.0492421,0.0105638,0.0029726
321,0.0480273,0.0023875,0.0029511
322,0.0487,0.0040746,0.0033255
323,0.0428422,0.0016215,0.0029652
324,0.0442187,0.0016598,0.0030272
325,0.0430881,0.0016696,0.0030784
326,0.0434862,0.0020854,0.002931
327,0.0415784,0.0016301,0.003022
328,0.0416505,0.0018182,0.0029827
329,0.0419578,0.0016604,0.0031048
330,0.0434738,0.0015921,0.0029808
331,0.0455092,0.0040703,0.0030187
332,0.0439154,0.0016594,0.0043535
333,0.044511,0.0016706,0.0031973
334,0.044823,0.0017257,0.0032192
335,0.0423895,0.0016597,0.003044
336,0.0412986,0.0016657,0.003072
337,0.0448037,0.001764,0.0032362
338,0.042743,0.0018071,0.003276
339,0.0436263,0.0019336,0.0030275
340,0.0465984,0.0019911,0.0070108
341,0.0424872,0.0016108,0.0030356
342,0.0457945,0.0016678,0.0029696
343,0.0417653,0.0016849,0.0030935
344,0.0421793,0.0019156,0.0030633
345,0.0423802,0.0018362,0.0033567
346,0.0432959,0.0016609,0.0032594
347,0.0431869,0.00196,0.0030106
348,0.0433537,0.0016726,0.0034145
349,0.0424155,0.0016123,0.0029946
350,0.0426219,0.0017645,0.0030044
351,0.0435648,0.0018527,0.0031201
352,0.0435887,0.0018853,0.0032089
353,0.0436066,0.0016454,0.0031091
354,0.042468,0.0016855,0.003327
355,0.0474605,0.0016742,0.0030703
356,0.0451043,0.0019177,0.0029633
357,0.0428074,0.0017908,0.0030046
358,0.0421575,0.0016979,0.0032606
359,0.0424556,0.0016508,0.0033598
360,0.042518,0.001655,0.0030425
361,0.046434,0.0017875,0.0029847
362,0.0418971,0.0016862,0.0030231
363,0.0474295,0.0018914,0.0030092
364,0.047366,0.0017268,0.0030273
365,0.0525694,0.0086682,0.003023
366,0.0476206,0.0035327,0.0031722
367,0.0457334,0.0067147,0.0122932
368,0.0439711,0.0016752,0.0030162
369,0.0416608,0.0018594,0.0030978
370,0.0438164,0.0016601,0.0032176
371,0.0436729,0.0017102,0.0030724
372,0.0439972,0.0016732,0.0031088
373,0.0429824,0.0016874,0.0032961
374,0.0442006,0.0016723,0.0034246
375,0.0446109,0.0063694,0.0029626
376,0.0426494,0.0018771,0.0031821
377,0.0441496,0.0017239,0.0030753
378,0.0437853,0.0016756,0.0034717
379,0.0408796,0.0021621,0.0029761
380,0.0424015,0.0020118,0.0029782
381,0.0424322,0.0021775,0.0029965
382,0.0431406,0.0021462,0.0029765
383,0.0417598,0.0016799,0.003003
384,0.0439181,0.0016622,0.0030892
385,0.0431871,0.0016335,0.00307
386,0.0460224,0.0016257,0.0029979
387,0.0444122,0.0016605,0.0032765
388,0.0454696,0.0016373,0.0033986
389,0.0441953,0.0019291,0.003045
390,0.0443223,0.0016662,0.0029998
391,0.0433051,0.0016449,0.0031555
392,0.0415638,0.001642,0.0032584
393,0.0420126,0.0017402,0.0030642
394,0.0424105,0.0017454,0.0032144
395,0.0459256,0.001639,0.0033628
396,0.0438702,0.0017018,0.003188
397,0.0435824,0.0017428,0.0030663
398,0.0439201,0.0017101,0.0032954
399,0.0423925,0.0016447,0.0030489
400,0.0435453,0.0015817,0.0031831
401,0.0426894,0.0017624,0.0030679
402,0.0424021,0.0019828,0.0029838
403,0.0432472,0.0017172,0.0032088
404,0.0457943,0.0017251,0.0033467
405,0.0437378,0.0016871,0.003098
406,0.0416692,0.0018482,0.0030956
407,0.0448272,0.0016518,0.003025
408,0.0440501,0.0016422,0.003271
409,0.0466296,0.0090606,0.003445
410,0.0472414,0.0047092,0.0029756
411,0.0452808,0.0031431,0.0030162
412,0.0422461,0.0058235,0.0029267
413,0.0430374,0.0016722,0.0030254
414,0.0433131,0.0017734,0.0030666
415,0.044975,0.0017656,0.0035401
416,0.0430796,0.0063464,0.0029551
417,0.0430163,0.0016472,0.0030596
418,0.0427989,0.0016507,0.0030606
419,0.0443633,0.0016809,0.0034982
420,0.0424752,0.0017189,0.0030145
421,0.0460245,0.0018903,0.0031814
422,0.042413,0.0018305,0.0030832
423,0.0413207,0.0016625,0.0031667
424,0.0427176,0.0016786,0.0030335
425,0.0470072,0.0016178,0.0030187
426,0.0435469,0.0016889,0.0031747
427,0.043417,0.0016518,0.003156
428,0.0465049,0.0016608,0.0030867
429,0.0425457,0.002809,0.0030143
430,0.0435371,0.0015662,0.0029416
431,0.0416927,0.0015994,0.0030391
432,0.0471422,0.0041521,0.0029407
433,0.0448918,0.0017154,0.0035662
434,0.0429933,0.0024924,0.0031389
435,0.0399756,0.001661,0.0031136
436,0.042949,0.0020964,0.0032148
437,0.0447899,0.0018617,0.0030284
438,0.0430595,0.0019091,0.0030797
439,0.0401573,0.0017012,0.0033053
440,0.044647,0.0016337,0.0033139
441,0.0432225,0.0016463,0.0033493
442,0.0438888,0.00166,0.0030762
443,0.0450487,0.0018794,0.0029387
444,0.0430884,0.0016342,0.003011
445,0.0403255,0.0016976,0.0029809
446,0.0427099,0.0016653,0.0029857
447,0.0414192,0.001638,0.0030702
448,0.0426916,0.0017306,0.002983
449,0.0434737,0.0018111,0.0031212
450,0.0418925,0.0016236,0.0030435
451,0.0436088,0.0016741,0.0029775
452,0.0424173,0.0016642,0.0030476
453,0.0443841,0.0017908,0.0031805
454,0.0482897,0.0092393,0.0029557
455,0.0485346,0.0073927,0.0029392
456,0.0446194,0.0080726,0.0029923
457,0.0439704,0.0062464,0.0029492
458,0.0429428,0.0018708,0.0029943
459,0.0425513,0.0017952,0.0033796
460,0.0416495,0.001912,0.0032124
461,0.0425954,0.0017119,0.0030957
462,0.0454389,0.0016832,0.0031054
463,0.0449601,0.0018037,0.0029231
464,0.0457033,0.0017042,0.0030943
465,0.0422248,0.0016958,0.0031184
466,0.0425908,0.0015532,0.003114
467,0.0416303,0.0016778,0.0030175
468,0.043779,0.0017539,0.0030715
469,0.0432674,0.0019217,0.0030442
470,0.0404846,0.0018228,0.0030547
471,0.0431873,0.0016555,0.0033036
472,0.0441171,0.0021793,0.0030053
473,0.0429567,0.0017262,0.0029643
474,0.0449782,0.0016527,0.0035245
